sapl_id,evento_id,tamanho_evento,cadeia_id,sessao_grupo_id,motivo,companheiros_cadeia,companheiros_sessao,sessoes,data_votacao,sessao_tipo,sessao_hora,presentes
13405,13405,1,13405,13405,isolada,,,,,,,
12479,12259,2,12259,12479,cadeia,12259,,1548,2024-11-05,Sessão Extraordinária,16:22,14
12580,12580,1,12580,12580,isolada,,,1576,2025-04-16,Sessão Extraordinária,15:22,21
12792,7303,20,12792,12792,sessao,,12891,1581,2025-05-29,Itinerante,10:52,24
12891,7303,20,7755,12792,cadeia+sessao,7755,12792,1581,2025-05-29,Itinerante,10:52,24
13307,13307,1,13307,13307,isolada,,,1608,2025-10-28,Sessão Ordinária,15:30,21
13397,13397,1,13397,13397,isolada,,,1595,2025-09-09,Sessão Ordinária,15:20,23
12004,12004,1,12004,12004,isolada,,,1506,2024-03-26,Sessão Ordinária,15:30,23
12192,7303,20,7303,12192,cadeia,7303,,1501,2024-03-12,Sessão Ordinária,15:30,22
12259,12259,2,12259,12259,cadeia,12479,,,,,,
11263,7303,20,7303,11263,cadeia,9000,,,,,,
11508,11508,1,11508,11508,isolada,,,,,,,
11510,11510,1,11510,11510,isolada,,,,,,,
11607,7303,20,7303,11607,cadeia,7303,,1452;1453,2023-06-06,Sessão Extraordinária,18:27,18
11637,7303,20,7303,11637,cadeia,7303,,1461;1460,2023-06-27,Sessão Extraordinária,19:23,16
11664,11664,1,11664,11664,isolada,,,1477,2023-08-29,Sessão Extraordinária,21:12,19
11891,11891,1,11891,11891,isolada,,,,,,,
10363,10363,2,10363,10363,sessao,,10377,1312;1311,2021-12-14,Sessão Extraordinária,12:21,19
10377,10363,2,10377,10363,sessao,,10363,1312;1311,2021-12-14,Sessão Extraordinária,12:21,19
10470,10470,1,10470,10470,isolada,,,1304;1305,2021-11-22,Sessão Extraordinária,19:14,22
10545,10545,1,10545,10545,isolada,,,1325;1339,2022-03-30,Sessão Ordinária,09:30,24
10919,10919,1,10919,10919,isolada,,,1333;1354,2022-06-14,Sessão Ordinária,15:30,22
10960,10960,1,10960,10960,isolada,,,1356;1357,2022-06-28,Sessão Extraordinária,17:29,21
11199,7303,20,7303,11199,cadeia,7303,,1383;1382,2022-11-01,Sessão Ordinária,15:30,20
11221,7303,20,7303,11221,cadeia,7303,,1394,2022-11-29,Sessão Extraordinária,18:51,16
9726,9726,4,9726,9726,cadeia,9854;9855;9856,,1242;1244,2021-04-20,Sessão Ordinária,15:30,24
9854,9726,4,9726,9854,cadeia+sessao,9726,9855;9856,1267;1268,2021-07-06,Sessão Extraordinária,20:49,20
9855,9726,4,9726,9854,cadeia+sessao,9726,9854;9856,1267;1268,2021-07-06,Sessão Extraordinária,20:49,20
9856,9726,4,9726,9854,cadeia+sessao,9726,9854;9855,1267;1268,2021-07-06,Sessão Extraordinária,20:49,20
10075,10075,1,10075,10075,isolada,,,1293,2021-10-26,Sessão Ordinária,15:28,20
10268,7303,20,7758,10268,cadeia,7758,,1316;1315,2021-12-15,Sessão Extraordinária,19:25,19
9301,9301,1,9301,9301,isolada,,,1114;1147,2020-03-18,Sessão Ordinária,09:17,19
9466,5399,2,5399,9466,cadeia,5399,,1130;1174,2020-07-28,Sessão Ordinária,15:18,23
9530,7303,20,7303,9530,cadeia,7303,,1176;1132,2020-08-18,Sessão Extraordinária,18:16,
8909,8909,1,8909,8909,isolada,,,1073;1000,2019-05-15,Sessão Ordinária,09:24,20
9000,7303,20,7303,9000,cadeia,7303;11263,,992;1065,2019-04-16,Sessão Extraordinária,18:41,17
9119,9119,3,9119,9119,sessao,,9120;9152,1093;1027,2019-10-08,Sessão Ordinária,15:22,23
9120,9119,3,9120,9119,sessao,,9119;9152,1093;1027,2019-10-08,Sessão Ordinária,15:22,23
9152,9119,3,9152,9119,sessao,,9119;9120,1093;1027,2019-10-08,Sessão Ordinária,15:22,23
9174,7303,20,9174,9174,sessao,,9209,1039;1038,2019-11-05,Sessão Extraordinária,17:43,18
9209,7303,20,7755,9174,cadeia+sessao,7755,9174,1039;1038,2019-11-05,Sessão Extraordinária,17:43,18
9215,9215,1,9215,9215,isolada,,,1103;1040;1041,2019-11-12,Sessão Ordinária,15:07,21
8262,8262,11,8262,8262,sessao,,8263;8264;8265;8266;8267;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8263,8262,11,8263,8262,sessao,,8262;8264;8265;8266;8267;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8264,8262,11,8264,8262,sessao,,8262;8263;8265;8266;8267;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8265,8262,11,8265,8262,sessao,,8262;8263;8264;8266;8267;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8266,8262,11,8266,8262,sessao,,8262;8263;8264;8265;8267;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8267,8262,11,8267,8262,sessao,,8262;8263;8264;8265;8266;8268;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8268,8262,11,8268,8262,sessao,,8262;8263;8264;8265;8266;8267;8269;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8269,8262,11,8269,8262,sessao,,8262;8263;8264;8265;8266;8267;8268;8270;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8270,8262,11,8270,8262,sessao,,8262;8263;8264;8265;8266;8267;8268;8269;8271;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8271,8262,11,8271,8262,sessao,,8262;8263;8264;8265;8266;8267;8268;8269;8270;8272,805,2018-03-27,Sessão Extraordinária,17:32,17
8272,8262,11,8272,8262,sessao,,8262;8263;8264;8265;8266;8267;8268;8269;8270;8271,805,2018-03-27,Sessão Extraordinária,17:32,17
8291,8291,1,8291,8291,isolada,,,811,2018-04-05,Sessão Extraordinária,17:24,14
8294,8294,1,8294,8294,isolada,,,777;776,2017-12-13,Sessão Extraordinária,16:04,23
8310,8310,1,8310,8310,isolada,,,814,2018-04-10,Sessão Ordinária,15:09,23
8320,5019,3,5019,8320,cadeia,5479,,820;821,2018-04-11,Sessão Extraordinária,13:45,23
8352,7686,3,7741,8352,cadeia,7741,,795;794,2018-03-13,Sessão Extraordinária,17:02,15
8373,7303,20,7303,8373,cadeia,7303;8053,,829;830,2018-04-24,Sessão Ordinária,15:08,24
8484,8484,1,8484,8484,isolada,,,869;870,2018-06-26,Sessão Extraordinária,16:21,20
8506,8506,1,8506,8506,isolada,,,875;876,2018-07-03,Sessão Ordinária,15:28,16
8567,8567,1,8567,8567,isolada,,,892;891,2018-08-28,Sessão Extraordinária,16:12,15
8586,8586,1,8586,8586,isolada,,,901;899,2018-09-25,Sessão Extraordinária,18:28,15
7914,7693,2,7693,7914,cadeia,7693,,627;628,2017-02-15,Sessão Extraordinária,14:43,19
8053,7303,20,7303,8053,cadeia,7303;8373,,,,,,
8137,8137,1,8137,8137,isolada,,,719;718,2017-08-30,Sessão Extraordinária,12:34,16
8222,8222,1,8222,8222,isolada,,,779;778,2017-12-13,Sessão Extraordinária,17:08,17
8238,8238,1,8238,8238,isolada,,,,,,,
7422,7303,20,7303,7422,cadeia,7303,,523;522,2016-03-16,Sessão Extraordinária,13:11,13
7442,7442,1,7442,7442,isolada,,,517;516,2016-03-08,Sessão Extraordinária,19:03,16
7568,7568,2,7568,7568,sessao,,7580,565;566,2016-06-28,Sessão Ordinária,15:14,23
7580,7568,2,7580,7568,sessao,,7568,565;566,2016-06-28,Sessão Ordinária,15:14,23
7659,7659,1,7659,7659,isolada,,,583,2016-09-06,Sessão Extraordinária,17:36,14
7686,7686,3,7686,7686,sessao,,7741,587;588,2016-09-20,Sessão Extraordinária,17:13,
7693,7693,2,7693,7693,cadeia,7914,,594;595,2016-10-11,Sessão Extraordinária,17:29,18
7718,7718,1,7718,7718,isolada,,,589;590,2016-10-04,Sessão Ordinária,15:03,22
7741,7686,3,7741,7686,cadeia+sessao,8352,7686,587;588,2016-09-20,Sessão Extraordinária,17:13,
7755,7303,20,7755,7755,cadeia+sessao,9209;12891,7758;7759,617;616,2016-12-06,Sessão Extraordinária,19:46,24
7758,7303,20,7758,7755,cadeia+sessao,10268,7755;7759,617;618,2016-12-06,Sessão Extraordinária,19:46,24
7759,7303,20,7303,7755,cadeia+sessao,7303,7755;7758,617;616,2016-12-06,Sessão Extraordinária,19:46,24
7092,7092,1,7092,7092,isolada,,,,,,,
7137,7137,2,7137,7137,sessao,,7173,432;431,2015-07-01,Sessão Extraordinária,13:02,22
7173,7137,2,7173,7137,sessao,,7137,432;431,2015-07-01,Sessão Extraordinária,13:02,22
7234,7234,1,7234,7234,isolada,,,474;473,2015-10-20,Sessão Extraordinária,20:36,17
7250,7250,1,7250,7250,isolada,,,457;456,2015-09-09,Sessão Extraordinária,13:59,17
7252,7252,1,7252,7252,isolada,,,463;462,2015-09-22,Sessão Extraordinária,18:28,16
7291,7291,1,7291,7291,isolada,,,461;460;466;465,2015-09-16,Sessão Extraordinária,11:03,15
7303,7303,20,7303,7303,cadeia,7422;7759;8053;8373;9000;9530;11199;11221;11607;11637;12192,,492;493,2015-12-02,Sessão Ordinária,09:16,21
6639,6639,2,6639,6639,sessao,,6640,271;272,2014-02-26,Sessão Extraordinária,17:34,14
6640,6639,2,6640,6639,sessao,,6639,271;272,2014-02-26,Sessão Extraordinária,17:34,14
6870,6870,1,6870,6870,isolada,,,333;334,2014-09-02,Sessão Ordinária,15:17,16
6071,6071,1,6071,6071,isolada,,,,,,,
6149,6149,1,6149,6149,isolada,,,,,,,
6181,6181,1,6181,6181,isolada,,,,,,,
6451,6451,1,6451,6451,isolada,,,222;223,2013-09-24,Sessão Extraordinária,16:55,18
6481,6481,1,6481,6481,isolada,,,201;200,2013-08-06,Sessão Extraordinária,17:40,20
6545,6545,1,6545,6545,isolada,,,,,,,
