origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,728,Lei ordinária,205,1988,1988-07-04,1,,Altera,norma,717,Lei ordinária,194,1987,1987-12-28,fonte→alvo,False,True,ESCOPO,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1988/728/728_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1987/717/717_texto_integral.pdf,True,True,,False
registrado,785,Lei ordinária,262,1990,1990-01-11,1,,Altera,norma,611,Lei ordinária,88,1986,1986-01-07,fonte→alvo,False,True,SEM_SINAL,contexto,PROVAVEL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1990/785/785_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1986/611/611_texto_integral.pdf,True,True,,False
registrado,974,Lei ordinária,451,1992,1992-12-23,1,,Altera,norma,717,Lei ordinária,194,1987,1987-12-28,fonte→alvo,False,True,ESCOPO,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1992/974/974_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1987/717/717_texto_integral.pdf,True,True,,False
registrado,1026,Lei ordinária,503,1993,1993-07-20,1,,Altera,norma,717,Lei ordinária,194,1987,1987-12-28,fonte→alvo,False,True,ESCOPO,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1993/1026/1026_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1987/717/717_texto_integral.pdf,True,True,,False
registrado,1070,Lei ordinária,547,1993,1993-12-30,2,,Revoga integralmente,norma,611,Lei ordinária,88,1986,1986-01-07,fonte→alvo,False,True,ESCOPO,contexto,PROVAVEL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1993/1070/1070_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1986/611/611_texto_integral.pdf,True,True,,False
registrado,366,Lei Complementar,233,2000,2000-06-06,2,,Revoga integralmente,norma,185,Lei Complementar,52,1991,1991-12-20,fonte→alvo,True,False,ESCOPO,contexto,PROVAVEL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1991/185/185_texto_integral.pdf,True,True,,False
registrado,366,Lei Complementar,233,2000,2000-06-06,2,,Revoga integralmente,norma,285,Lei Complementar,152,1996,1996-06-24,fonte→alvo,True,False,ESCOPO,contexto,SEM_SINAL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1996/285/285_texto_integral.pdf,True,True,,False
registrado,366,Lei Complementar,233,2000,2000-06-06,1,,Altera,norma,304,Lei Complementar,171,1997,1997-05-28,fonte→alvo,True,False,ESCOPO,contexto,SEM_SINAL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1997/304/304_texto_integral.pdf,True,True,,False
registrado,366,Lei Complementar,233,2000,2000-06-06,2,,Revoga integralmente,norma,336,Lei Complementar,203,1998,1998-04-03,fonte→alvo,True,False,ESCOPO,contexto,SEM_SINAL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1998/336/336_texto_integral.pdf,True,True,,False
registrado,441,Lei Complementar,308,2004,2004-11-26,1,,Altera,norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,SEM_SINAL,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2004/441/441_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,,False
registrado,445,Lei Complementar,312,2005,2005-05-06,1,,Altera,norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,SEM_SINAL,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2005/445/445_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,,False
registrado,4227,Lei Complementar,468,2008,2008-07-21,,,originada de (PL),materia,218,Matéria (PL),100,2008,,norma→matéria,False,,SEM_SINAL,contexto,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2008/4227/4227_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2008/218/218_texto_integral.pdf,True,False,,False
registrado,4356,Lei ordinária,2027,2009,2009-01-19,,,originada de (PL),materia,731,Matéria (PL),6,2007,,norma→matéria,False,,ESCOPO,contexto,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2009/4356/4356_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2007/731/731_texto_integral.pdf,True,False,,False
inferido,4767,Lei Complementar,525,2009,2009-10-06,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,ESCOPO,contexto,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2009/4767/4767_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,4767,Lei Complementar,525,2009,2009-10-06,,,originada de (PL),materia,943,Matéria (PL),174,2009,,norma→matéria,False,,ESCOPO,contexto,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2009/4767/4767_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2009/943/943_texto_integral.pdf,True,False,,False
inferido,5039,Lei Complementar,586,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5039/5039_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5039,Lei Complementar,586,2010,2010-07-19,,,originada de (PL),materia,1494,Matéria (PL),239,2010,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5039/5039_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1494/1494_texto_integral.pdf,True,False,,False
inferido,5040,Lei Complementar,587,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5040/5040_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5040,Lei Complementar,587,2010,2010-07-19,,,originada de (PL),materia,1495,Matéria (PL),240,2010,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5040/5040_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1495/1495_texto_integral.pdf,True,False,,False
inferido,5041,Lei Complementar,588,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5041/5041_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5041,Lei Complementar,588,2010,2010-07-19,,,originada de (PL),materia,1496,Matéria (PL),241,2010,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5041/5041_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1496/1496_texto_integral.pdf,True,False,,False
inferido,5043,Lei Complementar,589,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5043/5043_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5043,Lei Complementar,589,2010,2010-07-19,,,originada de (PL),materia,1497,Matéria (PL),242,2010,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5043/5043_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1497/1497_texto_integral.pdf,True,False,,False
