sapl_id,tipo,numero,ano,data,dist,escopo,janela,ementa,na_selecao,materia_sapl_id,materia_resumo,situacao,n_altera,n_alterada_por,n_revoga,n_revogada_por,n_suspende,n_regulamenta
13318,Lei ordinária,6269,2025,2025-11-24,0,SEM_SINAL,analise,Dispõe sobre a não caracterização de Áreas de Preservação Permanentes – APPs em determinadas situações envolvendo corpos d’água artificiais e naturais no âmbito,True,49315,PL 1019/2025,vigente (presumida),0,0,0,0,0,0
13307,Lei ordinária,6258,2025,2025-11-19,0,ESCOPO,analise,"Dispõe sobre a intensificação da fiscalização e combate ao tráfico de animais silvestres nas rodovias estaduais, no âmbito do Estado de Rondônia.",True,34555,PL 275/2023,vigente (presumida),0,0,0,0,0,0
13397,Decreto Legislativo,2899,2025,2025-09-09,0,ESCOPO,analise,"Susta os efeitos do Plano de Desocupação dos Semoventes em Unidades de Conservação, especificamente Estação Ecológica Soldado da Borracha no Estado de Rondônia ",True,49680,PL 860/2025,vigente (presumida),0,0,0,0,0,0
12891,Lei ordinária,6094,2025,2025-08-11,0,ESCOPO,analise,"Acrescenta inciso VI ao artigo 4º da Lei nº 3.945, de 12 de dezembro de 2016, que “Dispõe sobre o Conselho Estadual de Política Ambiental e dá outras providênci",True,47671,PL 877/2025,vigente (presumida),1,0,0,0,0,0
12792,Lei Complementar,1287,2025,2025-06-24,0,ESCOPO,analise,"Acrescenta dispositivos à Lei Complementar nº 1.193, de 22 de junho de 1993, que “Implanta o Programa Permanente de Regularização Ambiental – PRRA, com o objeti",True,47663,PL 134/2025,vigente (presumida),0,0,0,0,0,0
12479,Lei ordinária,5983,2025,2025-01-31,0,ESCOPO,analise,"Revoga a Lei nº 5.883, de 1º de outubro de 2024, que “Dispõe sobre as sanções aplicáveis em virtude da responsabilidade por incêndios e queimadas, e dá outras p",True,42832,PL 680/2024,vigente (presumida),0,0,0,0,0,0
12259,Lei ordinária,5883,2024,2024-10-01,1,ESCOPO,analise,"Dispõe sobre as sanções aplicáveis em virtude da responsabilidade por incêndios e queimadas, e dá outras providências.",False,40797,PL 618/2024,vigente (presumida),0,0,0,0,0,0
12192,Lei ordinária,5838,2024,2024-07-29,0,ESCOPO,analise,"Acrescenta dispositivos à Lei nº 3.686, de 8 de dezembro de 2015, que “Dispõe sobre o Sistema de Licenciamento Ambiental do Estado de Rondônia e dá outras provi",True,38066,PL 377/2024,vigente (presumida),1,0,0,0,0,0
11970,Lei Complementar,1220,2024,2024-03-25,0,SEM_SINAL,analise,"Altera dispositivos da Lei Complementar nº 775, de 2 de junho de 2014, altera, acresce e revoga dispositivos da Lei Complementar nº 965, de 20 de dezembro de 20",True,32984,PL 26/2023,vigente (presumida),7,0,7,0,0,0
11905,Lei Complementar,1212,2023,2023-12-20,1,SEM_SINAL,analise,"Altera, acresce e revoga dispositivos da Lei Complementar nº 255, de 25 de janeiro de 2002.",False,26716,PL 118/2021,vigente (presumida),0,0,0,0,0,0
11716,Lei Complementar,1200,2023,2023-10-13,0,SEM_SINAL,analise,Institui a Microrregião de águas e Esgotos no Estado de Rondônia e sua respectiva estrutura de governança.,True,34149,PL 35/2023,vigente (presumida),0,0,0,0,0,0
11637,Lei ordinária,5611,2023,2023-09-05,0,ESCOPO,analise,"Altera a redação do inciso II do artigo 37 da Lei nº 3.686, de 08 de dezembro de 2015, que “Dispõe sobre o Sistema de Licenciamento Ambiental do Estado de Rondô",True,32990,PL 106/2023,vigente (presumida),0,0,0,0,0,0
11607,Lei ordinária,5594,2023,2023-08-11,1,ESCOPO,analise,"Acrescenta dispositivos à Lei nº 3.686, de 8 de dezembro de 2015.",False,31592,PL 30/2023,vigente (presumida),0,0,0,0,0,0
11508,Lei ordinária,5567,2023,2023-06-22,0,ESCOPO,analise,"Institui normas gerais para produção, comércio, transporte, uso, armazenamento, aplicação, fiscalização, destinação final dos resíduos e embalagens dos agrotóxi",True,27264,PL 1487/2021,vigente (presumida),0,0,1,0,0,0
11510,Lei Complementar,1193,2023,2023-06-22,0,ESCOPO,analise,"Implanta no Estado de Rondônia, o Programa Permanente de Regularização Ambiental – PPRA, com o objetivo de promover a regularização ambiental dos imóveis rurais",True,32446,PL 22/2023,vigente (presumida),0,0,0,0,0,0
11263,Decreto Legislativo,2104,2023,2023-01-18,0,ESCOPO,analise,"Suspende a execução da Lei nº 4.564, de 23 de agosto de 2019, que “Acrescenta dispositivo da Lei nº 3.686, de 08 de dezembro de 2015, que “Dispõe sobre o Licenc",True,30614,PL 912/2022,vigente (presumida),0,0,0,0,1,0
11221,Lei ordinária,5510,2022,2022-12-21,0,ESCOPO,analise,"Altera o §1º do artigo 1º da Lei nº 3.686, de 8 de dezembro de 2015, que “Dispõe sobre o Sistema de Licenciamento Ambiental do Estado de Rondônia e dá outras pr",True,30805,PL 1728/2022,vigente (presumida),1,0,0,0,0,0
11199,Lei ordinária,5489,2022,2022-12-20,0,ESCOPO,analise,"Acrescenta dispositivo da Lei nº 3.686, de 08 de dezembro de 2015, que ""Dispõe sobre o Licenciamento Ambiental do Estado de Rondônia.""",True,30625,PL 1719/2022,vigente (presumida),0,0,0,0,0,0
10940,Lei ordinária,5412,2022,2022-08-19,0,SEM_SINAL,analise,"Altera, acresce e revoga dispositivos da Lei nº 5.280, de 12 de janeiro de 2022.",True,30244,PL 1653/2022,vigente (presumida),1,0,0,0,0,0
10741,Emenda Constitucional,151,2022,2022-05-18,0,SEM_SINAL,analise,Altera o § 17 do artigo 250 da Constituição do Estado de Rondônia.,True,29012,PL 28/2022,inconst. integral,0,0,0,0,0,0
10376,Lei ordinária,5280,2022,2022-01-12,1,PROVAVEL,analise,"Dispõe sobre a Política Estadual de Sustentabilidade da Aquicultura, revoga a Lei nº 3.437, de 9 de setembro de 2014, e dá outras providências.",False,27341,PL 1505/2021,vigente (presumida),0,1,0,0,0,0
10268,Lei ordinária,5225,2021,2021-12-22,0,ESCOPO,analise,"Altera e acresce dispositivos da Lei nº 3.943, de 12 de dezembro de 2016, que “Dispõe sobre o Fundo Especial de Proteção Ambiental - FEPRAM e dá outras providên",True,27394,PL 137/2021,vigente (presumida),1,0,0,0,0,0
10075,Decreto Legislativo,1422,2021,2021-10-27,0,ESCOPO,analise,"Suspende a execução da Lei nº 2.027, de 19 de janeiro de 2009, que ""Regulamenta o regime de compensação da reserva florestada no âmbito do Estado de Rondônia, n",True,26736,PL 431/2021,vigente (presumida),0,0,0,0,1,0
9856,Lei Complementar,1096,2021,2021-07-30,0,ESCOPO,analise,"Altera a redação do § 1º do artigo 2º da Lei Complementar nº 1.089, de 20 de maio de 2021, que ""Altera os limites da Reserva Extrativista Jaci-Paraná e do Parqu",True,24966,PL 106/2021,inconst. integral,0,0,0,0,0,0
9854,Lei Complementar,1094,2021,2021-07-30,0,ESCOPO,analise,"Revoga os artigos 3º e 4º da Lei Complementar nº 1.089, de 20 de maio de 2021, que ""Altera os limites da Reserva Extrativista Jaci-Paraná e do Parque Estadual d",True,24814,PL 104/2021,inconst. integral,0,0,0,0,0,0
9726,Lei Complementar,1089,2021,2021-05-20,1,ESCOPO,analise,"Altera os limites da Reserva Extrativista Jaci-Paraná e do Parque Estadual de Guajará-Mirim, cria o Parque Estadual Ilha das Flores, o Parque Estadual Abaitará,",False,22364,PL 80/2020,inconst. parcial,0,0,0,0,0,0
9613,Lei Complementar,1078,2020,2020-12-22,1,SEM_SINAL,analise,"Dá nova redação à Lei Complementar nº 1.008, de 20 de dezembro de 2018.",False,23144,PL 94/2020,revogada integral,0,0,0,1,0,0
9528,Lei Complementar,1070,2020,2020-11-27,0,SEM_SINAL,analise,"Revoga as Leis nº 75, de 12 de abril de 1993, nº 167, de 27 de dezembro de 1996, nº 198, de 29 de dezembro de 1997, nº 223, de 28 de dezembro de 1999, nº 626, d",True,21850,PL 78/2020,vigente (presumida),0,0,6,0,0,0
9530,Lei ordinária,4887,2020,2020-11-24,1,ESCOPO,analise,"Altera a redação do Inciso II do artigo 37 da lei 3.686,08 de dezembro de 2015, que “Dispõe sobre o Sistema de Licenciamento Ambiental do Estado de Rondônia e d",False,21461,PL 772/2020,vigente (presumida),1,0,0,0,0,0
9335,Lei ordinária,4748,2020,2020-05-05,0,REVISAR,analise,"Autoriza o Poder Executivo a abrir Crédito Adicional Suplementar por Excesso de Arrecadação, até o valor de R$ 19.523.491,00, em favor da Unidade Orçamentária: ",True,20227,PL 531/2020,vigente (presumida),0,0,0,0,0,0
9161,Lei Complementar,1042,2019,2019-10-30,0,SEM_SINAL,analise,"Autoriza o Poder Executivo a alterar e acrescentar dispositivos ao artigo 7º, da Lei Complementar nº 622, de 11 de julho de 2011.",True,18808,PL 42/2019,inconst. integral,2,0,0,0,0,0
9120,Lei ordinária,4611,2019,2019-10-15,0,ESCOPO,analise,Institui a Política Estadual de Educação Ambiental e dá outras providências.,True,18241,PL 252/2019,vigente (presumida),0,0,0,0,0,0
