origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,3887,Lei ordinária,1861,2008,2008-01-10,,,originada de (PL),materia,973,Matéria (PL),186,2007,,norma→matéria,False,,SEM_SINAL,contexto,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2008/3887/3887_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2007/973/973_texto_integral.pdf,True,False,,False
registrado,4356,Lei ordinária,2027,2009,2009-01-19,,,originada de (PL),materia,731,Matéria (PL),6,2007,,norma→matéria,False,,ESCOPO,contexto,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2009/4356/4356_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2007/731/731_texto_integral.pdf,True,False,,False
registrado,5019,Lei Complementar,581,2010,2010-06-30,,,originada de (PL),materia,1522,Matéria (PL),244,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5019/5019_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1522/1522_texto_integral.pdf,True,False,,False
inferido,5039,Lei Complementar,586,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5039/5039_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5039,Lei Complementar,586,2010,2010-07-19,,,originada de (PL),materia,1494,Matéria (PL),239,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5039/5039_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1494/1494_texto_integral.pdf,True,False,,False
inferido,5040,Lei Complementar,587,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5040/5040_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5040,Lei Complementar,587,2010,2010-07-19,,,originada de (PL),materia,1495,Matéria (PL),240,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5040/5040_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1495/1495_texto_integral.pdf,True,False,,False
inferido,5041,Lei Complementar,588,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5041/5041_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5041,Lei Complementar,588,2010,2010-07-19,,,originada de (PL),materia,1496,Matéria (PL),241,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5041/5041_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1496/1496_texto_integral.pdf,True,False,,False
registrado,5042,Lei Complementar,585,2010,2010-07-19,,,originada de (PL),materia,1493,Matéria (PL),238,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5042/5042_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1493/1493_texto_integral.pdf,True,False,,False
inferido,5043,Lei Complementar,589,2010,2010-07-19,,,modifica (INFERIDO: verbo 'revoga'),norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5043/5043_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,5043,Lei Complementar,589,2010,2010-07-19,,,originada de (PL),materia,1497,Matéria (PL),242,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5043/5043_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1497/1497_texto_integral.pdf,True,False,,False
registrado,5044,Lei Complementar,584,2010,2010-07-20,,,originada de (PL),materia,1492,Matéria (PL),237,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5044/5044_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1492/1492_texto_integral.pdf,True,False,,False
registrado,5108,Lei ordinária,2363,2010,2010-11-29,,,originada de (PL),materia,1542,Matéria (PL),875,2010,,norma→matéria,False,,PROVAVEL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5108/5108_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1542/1542_texto_integral.pdf,True,False,,False
registrado,5167,Lei Complementar,600,2011,2011-01-10,,,originada de (PL),materia,1678,Matéria (PL),267,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5167/5167_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1678/1678_texto_integral.pdf,True,False,,False
registrado,5229,Lei ordinária,2425,2011,2011-03-03,,,originada de (PL),materia,699,Matéria (PL),501,2009,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5229/5229_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2009/699/699_texto_integral.pdf,True,False,,False
