sapl_id,tipo,numero,ano,data,dist,escopo,janela,ementa,na_selecao,materia_sapl_id,materia_resumo,situacao,n_altera,n_alterada_por,n_revoga,n_revogada_por,n_suspende,n_regulamenta
13405,Lei Complementar,1318,2026,2026-02-09,0,ESCOPO,analise,"Dispõe sobre o regime de transição na área denominada Estação Ecológica Soldado da Borracha, no Estado de Rondônia, e dá outras providências.",True,53083,PL 172/2026,vigente (presumida),0,0,0,0,0,0
13307,Lei ordinária,6258,2025,2025-11-19,0,ESCOPO,analise,"Dispõe sobre a intensificação da fiscalização e combate ao tráfico de animais silvestres nas rodovias estaduais, no âmbito do Estado de Rondônia.",True,34555,PL 275/2023,vigente (presumida),0,0,0,0,0,0
13397,Decreto Legislativo,2899,2025,2025-09-09,0,ESCOPO,analise,"Susta os efeitos do Plano de Desocupação dos Semoventes em Unidades de Conservação, especificamente Estação Ecológica Soldado da Borracha no Estado de Rondônia ",True,49680,PL 860/2025,vigente (presumida),0,0,0,0,0,0
12891,Lei ordinária,6094,2025,2025-08-11,0,ESCOPO,analise,"Acrescenta inciso VI ao artigo 4º da Lei nº 3.945, de 12 de dezembro de 2016, que “Dispõe sobre o Conselho Estadual de Política Ambiental e dá outras providênci",True,47671,PL 877/2025,vigente (presumida),1,0,0,0,0,0
12792,Lei Complementar,1287,2025,2025-06-24,0,ESCOPO,analise,"Acrescenta dispositivos à Lei Complementar nº 1.193, de 22 de junho de 1993, que “Implanta o Programa Permanente de Regularização Ambiental – PRRA, com o objeti",True,47663,PL 134/2025,vigente (presumida),0,0,0,0,0,0
12580,Resolução,626,2025,2025-04-21,0,ESCOPO,analise,"Aprova o relatório circunstanciado e as conclusões da Comissão Parlamentar de Inquérito instituída pelo ATO Nº P 008/2023-LEG/ALE, que “Constitui e nomeia membr",True,46517,PL 113/2025,vigente (presumida),0,0,0,0,0,0
12479,Lei ordinária,5983,2025,2025-01-31,0,ESCOPO,analise,"Revoga a Lei nº 5.883, de 1º de outubro de 2024, que “Dispõe sobre as sanções aplicáveis em virtude da responsabilidade por incêndios e queimadas, e dá outras p",True,42832,PL 680/2024,vigente (presumida),0,0,0,0,0,0
12259,Lei ordinária,5883,2024,2024-10-01,0,ESCOPO,analise,"Dispõe sobre as sanções aplicáveis em virtude da responsabilidade por incêndios e queimadas, e dá outras providências.",True,40797,PL 618/2024,vigente (presumida),0,0,0,0,0,0
12192,Lei ordinária,5838,2024,2024-07-29,0,ESCOPO,analise,"Acrescenta dispositivos à Lei nº 3.686, de 8 de dezembro de 2015, que “Dispõe sobre o Sistema de Licenciamento Ambiental do Estado de Rondônia e dá outras provi",True,38066,PL 377/2024,vigente (presumida),1,0,0,0,0,0
12004,Lei ordinária,5762,2024,2024-04-19,0,ESCOPO,analise,"Institui a Política Estadual de Incentivo à Geração de Energia Renovável para os Pequenos Produtores Rurais, definidos pelo inciso III do artigo 3° da Lei Feder",True,32459,PL 87/2023,vigente (presumida),0,0,0,0,0,0
