sapl_id,tipo,numero,ano,conjunto_analise,ancora_adi,A1_dias_pl_lei,A2_urgencia,A3_parecer_plenario,A4_votacao_sem_nominal,A5_unanime,A6_sem_votacao_registrada,A7_dezembro,B1_n_alvos_em_escopo,B2_verbo_supressivo,B3_reincidencia_autor,B4_alvo_mais_emendado,B5_n_alvos,C1_retorica_verde,C2_eufemismo,C3_delegacao_executivo,C4_n_revogacoes,evidencias
366,Lei Complementar,233,2000,False,False,,False,False,False,False,True,False,0,True,0,0,4,False,False,False,3,"{""B2"": ""Revoga integralmente → 52/1991; Revoga integralmente → 152/1996; Revoga integralmente → 203/1998""}"
388,Lei Complementar,255,2002,False,False,,False,False,False,False,True,False,0,False,0,0,0,False,False,False,0,{}
611,Lei ordinária,88,1986,False,False,,False,False,False,False,True,False,0,False,0,0,0,True,False,False,0,"{""C1"": ""ementa casa «MEIO AMBIENTE»""}"
717,Lei ordinária,194,1987,False,False,,False,False,False,False,True,True,0,False,0,0,0,False,False,False,0,"{""A7"": ""promulgada em 1987-12-28""}"
3122,Lei ordinária,1145,2002,False,False,,False,False,False,False,True,True,0,False,0,0,0,False,False,False,0,"{""A7"": ""promulgada em 2002-12-12""}"
5019,Lei Complementar,581,2010,True,False,1,True,False,False,False,True,False,0,False,38,0,0,True,False,False,4,"{""A1"": ""apresentada 2010-06-29 → norma 2010-06-30"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «PROTEÇ»""}"
5039,Lei Complementar,586,2010,True,False,49,True,False,False,False,True,False,1,True,38,1,1,True,False,False,1,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-19"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B1"": ""revoga Lei Complementar 233/2000 [inferido]"", ""B2"": ""revoga → 233/2000"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «SUSTENT»""}"
5040,Lei Complementar,587,2010,True,False,49,True,False,False,False,True,False,1,True,38,1,1,False,False,False,1,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-19"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B1"": ""revoga Lei Complementar 233/2000 [inferido]"", ""B2"": ""revoga → 233/2000"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
5041,Lei Complementar,588,2010,True,False,49,True,False,False,False,True,False,1,True,38,1,1,False,False,False,1,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-19"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B1"": ""revoga Lei Complementar 233/2000 [inferido]"", ""B2"": ""revoga → 233/2000"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
5042,Lei Complementar,585,2010,True,False,49,True,False,False,False,True,False,0,False,38,0,0,True,False,False,0,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-19"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «MEIO AMBIENTE»""}"
5043,Lei Complementar,589,2010,True,False,49,True,False,False,False,True,False,1,True,38,1,1,True,False,False,1,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-19"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B1"": ""revoga Lei Complementar 233/2000 [inferido]"", ""B2"": ""revoga → 233/2000"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «SUSTENT»""}"
5044,Lei Complementar,584,2010,True,False,50,True,False,False,False,True,False,0,False,38,0,0,True,False,False,0,"{""A1"": ""apresentada 2010-05-31 → norma 2010-07-20"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
5167,Lei Complementar,600,2011,True,False,4,True,False,False,False,True,False,0,False,38,0,0,False,False,False,0,"{""A1"": ""apresentada 2011-01-06 → norma 2011-01-10"", ""A2"": ""tramitação com urgente=true no SAPL"", ""B3"": ""Poder Executivo assina outras 38 do conjunto""}"
5229,Lei ordinária,2425,2011,True,False,701,False,False,False,False,True,False,0,False,0,0,0,False,False,False,0,"{""A1"": ""apresentada 2009-04-01 → norma 2011-03-03""}"
5387,Lei ordinária,2531,2011,True,False,518,False,False,False,False,True,False,0,False,0,0,0,False,False,False,0,"{""A1"": ""apresentada 2010-02-22 → norma 2011-07-25""}"
5399,Lei ordinária,2508,2011,True,False,99,False,False,False,False,True,False,0,False,0,1,1,False,False,False,0,"{""A1"": ""apresentada 2011-03-29 → norma 2011-07-06"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
5424,Lei ordinária,2541,2011,True,False,47,False,False,False,False,True,False,1,False,12,1,1,True,False,False,0,"{""A1"": ""apresentada 2011-06-30 → norma 2011-08-16"", ""B1"": ""Altera Lei ordinária 890/2000 [registrado]"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «AMBIENTAL»""}"
5479,Lei Complementar,633,2011,True,False,21,False,False,False,False,True,False,2,True,38,0,2,True,False,False,2,"{""A1"": ""apresentada 2011-08-23 → norma 2011-09-13"", ""B1"": ""Revoga integralmente Lei ordinária 692/1996 [registrado]; Revoga parcialmente Lei Complementar 581/2010 [registrado]"", ""B2"": ""Revoga integralmente → 692/1996; Revoga parcialmente → 581/2010"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «PROTEÇ»""}"
5485,Lei ordinária,2583,2011,True,False,75,False,False,False,False,True,False,0,False,1,0,0,True,False,False,0,"{""A1"": ""apresentada 2011-08-04 → norma 2011-10-18"", ""B3"": ""EDSON MARTINS assina outras 1 do conjunto"", ""C1"": ""ementa casa «AMBIENTAL»""}"
5496,Lei ordinária,2571,2011,True,False,165,False,False,False,False,True,False,0,False,1,0,0,False,False,False,0,"{""A1"": ""apresentada 2011-04-28 → norma 2011-10-10"", ""B3"": ""LUIZINHO GOEBEL assina outras 1 do conjunto""}"
5711,Lei Complementar,664,2012,True,False,222,False,False,False,False,True,False,0,False,0,0,0,False,False,False,0,"{""A1"": ""apresentada 2011-09-28 → norma 2012-05-07""}"
