norma_sapl_id,votacao_sapl_id,data,parlamentar,voto,partido_na_epoca,nota_partido
6639,933,2014-02-26,ADRIANO BOIADEIRO ,Sim,PRP,
6639,933,2014-02-26,BRITO DO INCRA ,Sim,PSD,
6639,933,2014-02-26,CLÁUDIO CARVALHO ,Sim,PT,
6639,933,2014-02-26,EDSON MARTINS,Sim,MDB,
6639,933,2014-02-26,EPIFÂNIA BARBOSA,Sim,PT,
6639,933,2014-02-26,FLÁVIO LEMOS,Sim,PR,
6639,933,2014-02-26,JEAN OLIVEIRA,Sim,PSDB,
6639,933,2014-02-26,LEBRÃO,Sim,PTN,
6639,933,2014-02-26,LUIZ CLÁUDIO,Sim,PTN,
6639,933,2014-02-26,LUIZINHO GOEBEL,Ausente,PV,
6639,933,2014-02-26,MARCELINO TENÓRIO,Sim,PRP,
6639,933,2014-02-26,MAURÃO DE CARVALHO,Sim,,sem filiação registrada cobrindo a data de referência
6639,933,2014-02-26,RIBAMAR ARAUJO,Sim,PT,
6639,933,2014-02-26,ZEQUINHA ARAUJO,Sim,MDB,
6639,935,2014-02-26,ADRIANO BOIADEIRO ,Sim,PRP,
6639,935,2014-02-26,BRITO DO INCRA ,Sim,PSD,
6639,935,2014-02-26,CLÁUDIO CARVALHO ,Sim,PT,
6639,935,2014-02-26,EDSON MARTINS,Sim,MDB,
6639,935,2014-02-26,EPIFÂNIA BARBOSA,Sim,PT,
6639,935,2014-02-26,FLÁVIO LEMOS,Sim,PR,
6639,935,2014-02-26,JEAN OLIVEIRA,Sim,PSDB,
6639,935,2014-02-26,LEBRÃO,Sim,PTN,
6639,935,2014-02-26,LUIZ CLÁUDIO,Sim,PTN,
6639,935,2014-02-26,LUIZINHO GOEBEL,Sim,PV,
6639,935,2014-02-26,MARCELINO TENÓRIO,Sim,PRP,
6639,935,2014-02-26,MAURÃO DE CARVALHO,Sim,,sem filiação registrada cobrindo a data de referência
6639,935,2014-02-26,RIBAMAR ARAUJO,Sim,PT,
6639,935,2014-02-26,ZEQUINHA ARAUJO,Sim,MDB,
7568,2944,2016-06-28,ADELINO FOLLADOR,Sim,DEM,
7568,2944,2016-06-28,AÉLCIO DA TV,Sim,PP,
7568,2944,2016-06-28,AIRTON GURGACZ,Sim,PDT,
7568,2944,2016-06-28,ALEX REDANO,Sim,REPUBLICANOS,
7568,2944,2016-06-28,CLEITON ROQUE,Sim,PSB,data de filiação com ano suspeito no SAPL (210)
7568,2944,2016-06-28,Dr. NEIDSON,Sim,PMN,
7568,2944,2016-06-28,EDSON MARTINS,Sim,MDB,
7568,2944,2016-06-28,EZEQUIEL JUNIOR,Sim,PSDC,
7568,2944,2016-06-28,GLAUCIONE,Sim,MDB,"filiações sobrepostas (MDB, PSDC) — usada a mais recente"
7568,2944,2016-06-28,HERMINIO COELHO,Ausente,PDT,
7568,2944,2016-06-28,JEAN OLIVEIRA,Ausente,MDB,
7568,2944,2016-06-28,JESUINO BOABAID,Sim,PMN,
7568,2944,2016-06-28,LAERTE GOMES,Sim,PSDB,
7568,2944,2016-06-28,LAZINHO DA FETAGRO,Sim,PT,
7568,2944,2016-06-28,LEBRÃO,Sim,MDB,
7568,2944,2016-06-28,LÉO MORAES,Ausente,PTB,
7568,2944,2016-06-28,LUCIA TEREZA,Sim,PP,
7568,2944,2016-06-28,MARCELINO TENÓRIO,Sim,PRP,
7568,2944,2016-06-28,MAURÃO DE CARVALHO,Ausente,MDB,
7568,2944,2016-06-28,RIBAMAR ARAUJO,Ausente,PL,
7568,2944,2016-06-28,ROSANGELA DONADON,Sim,MDB,
7568,2944,2016-06-28,SAULO MOREIRA,Sim,PDT,
7568,2944,2016-06-28,SÓ NA BENÇA,Sim,MDB,
7568,2961,2016-06-28,ADELINO FOLLADOR,Sim,DEM,
7568,2961,2016-06-28,AÉLCIO DA TV,Sim,PP,
7568,2961,2016-06-28,AIRTON GURGACZ,Sim,PDT,
7568,2961,2016-06-28,ALEX REDANO,Sim,REPUBLICANOS,
7568,2961,2016-06-28,CLEITON ROQUE,Sim,PSB,data de filiação com ano suspeito no SAPL (210)
7568,2961,2016-06-28,Dr. NEIDSON,Sim,PMN,
7568,2961,2016-06-28,EDSON MARTINS,Sim,MDB,
7568,2961,2016-06-28,EZEQUIEL JUNIOR,Sim,PSDC,
